
/
^.{5}$
/
gm
^ asserts position at start of a line
. matches any character (except for line terminators)
{5} matches the previous token exactly 5 times
$ asserts position at the end of a line
Global pattern flags 
g modifier: global. All matches (don't return after first match)
m modifier: multi line. Causes ^ and $ to match the begin/end of each line (not only begin/end of string)
12-17	abadi
20226-20231	bocil
20232-20237	bocok
20256-20261	bodoh
20269-20274	bodot
20275-20280	bogas
20307-20312	bokor
20341-20346	boleh
20347-20352	bolok
20353-20358	bolon
20413-20418	bondo
20438-20443	bonet
20543-20548	bonus
20563-20568	boole
20613-20618	boroh
20619-20624	borom
20656-20661	bosik
20691-20696	botol
20697-20702	botor
20712-20717	boyut
20761-20766	brana
20778-20783	brata
20784-20789	brati
20790-20795	braya
20891-20896	broca
21030-21035	brutu
21041-21046	buang
21067-21072	buaya
21086-21091	bubuk
21092-21097	bubul
21105-21110	bubur
21111-21116	bubus
21147-21152	bugil
21153-21158	buhul
21173-21178	bujuk
21179-21184	bujur
21190-21195	bukan
21203-21208	bukit
21209-21214	bukti
21220-21225	bulan
21283-21288	bular
21289-21294	bulat
21308-21313	buluh
21314-21319	bulus
21327-21332	bumbu
21338-21343	bumil
21366-21371	bunda
21379-21384	bunga
21461-21466	buntu
21496-21501	bunyi
21516-21521	burak
21530-21535	buram
21536-21541	buras
21542-21547	burat
21593-21598	bursa
21604-21609	buruh
21610-21615	buruk
21639-21644	busuk
21652-21657	busur
21682-21687	cabai
21688-21693	cabak
21716-21721	cacah
21736-21741	cacar
21742-21747	cacat
21775-21780	cadar
21781-21786	cadas
21787-21792	cagak
21793-21798	cagar
21822-21827	cakap
21836-21841	cakar
21860-21865	cakup
21877-21882	calir
21883-21888	calla
21889-21894	calon
21895-21900	caluk
21908-21913	camok
21914-21919	campa
21967-21972	canai
21973-21978	canda
21979-21984	candi
22003-22008	candu
22128-22133	carik
22134-22139	carpe
22140-22145	carte
22163-22168	catur
22224-22229	causa
22237-22242	cawan
22250-22255	cecak
22274-22279	cegah
22284-22289	cekat
22290-22295	cekel
22313-22318	celah
22379-22384	celup
22385-22390	cemas
22391-22396	cemat
22621-22626	cepat
22627-22632	ceper
22647-22652	cerai
22653-22658	cerap
22659-22664	cerca
22679-22684	cerek
22711-22716	cerna
22717-22722	cetak
22731-22736	cetok
22745-22750	cheng
22756-22761	cikar
22773-22778	cilik
22805-22810	cinta
22811-22816	cipta
22830-22835	cirit
22841-22846	citra
22847-22852	civic
22853-22858	civri
22859-22864	cloze
22870-22875	cobek
22876-22881	cocok
22890-22895	cogan
22896-22901	cokek
22917-22922	coksu
23090-23095	crash
23096-23101	cream
23102-23107	crede
23108-23113	cross
23114-23119	cuaca
23152-23157	cucut
23171-23176	cukai
23182-23187	cukup
23188-23193	cukur
23194-23199	culpa
23200-23205	cumbu
23228-23233	cupak
23241-23246	curah
23260-23265	dabus
23266-23271	dacin
23277-23282	dadak
23291-23296	dadap
23297-23302	dadar
23373-23378	dagun
23393-23398	dahak
23406-23411	dahan
23412-23417	dahes
23477-23482	dakwa
23502-23507	dalam
23508-23513	dalem
23514-23519	dalil
23538-23543	damai
23554-23559	damar
23560-23565	damas
23593-23598	danau
23607-23612	dandi
23618-23623	danga
23640-23645	dangu
23673-23678	daong
23679-23684	dapat
23700-23705	dapur
23711-23716	darah
23717-23722	darat
23810-23815	dasar
23821-23826	dasun
23846-23851	datar
23879-23884	dawai
23890-23895	dayak
23956-23961	debit
23967-23972	debus
24073-24078	degan
24182-24187	dekat
24354-24359	delik
24367-24372	delis
24398-24403	demam
24511-24516	denah
24517-24522	denak
24534-24539	denda
24565-24570	denge
24698-24703	depan
24762-24767	depok
24820-24825	derap
24826-24831	deras
24832-24837	derau
24838-24843	derbi
24855-24860	derek
24868-24873	deret
25087-25092	detak
25167-25172	detus
25200-25205	dewan
25226-25231	dewar
25441-25446	didik
25447-25452	didum
25480-25485	dieng
25554-25559	diksi
25571-25576	dikte
25650-25655	dinas
25858-25863	dirma
26295-26300	ditto
26371-26376	dohur
26377-26382	dokan
26450-26455	dolar
26470-26475	dolma
26497-26502	domba
26601-26606	dosen
26607-26612	dosis
26613-26618	dowel
26634-26639	drama
26710-26715	druwe
26736-26741	duduk
26796-26801	dukun
26832-26837	dumbo
26838-26843	dunia
26909-26914	duren
27026-27031	edema
27037-27042	edisi
27092-27097	ehomo
27136-27141	ejaan
27998-28003	elang
28220-28225	elpek
28264-28269	embel
28331-28336	embun
28337-28342	embus
28372-28377	emosi
28400-28405	empat
28468-28473	empok
28495-28500	empuk
28529-28534	encek
28535-28540	encer
28541-28546	encok
28547-28552	endah
28553-28558	endap
28761-28766	engel
29023-29028	entri
29049-29054	enzim
29241-29246	ereng
29379-29384	erosi
29463-29468	eskro
29480-29485	esong
29511-29516	estat
29557-29562	etawa
29584-29589	etno-
29825-29830	faber
29838-29843	facto
29876-29881	faire
29887-29892	fajar
29945-29950	falak
29951-29956	falik
29983-29988	fardu
30076-30081	fasdu
30144-30149	femme
30183-30188	fenol
30290-30295	fiber
30314-30319	fikih
30342-30347	fiksi
30476-30481	finis
30498-30503	fisik
30547-30552	fitat
30759-30764	fluks
30836-30841	flynn
30842-30847	fobia
30858-30863	fokus
30864-30869	folat
30870-30875	folik
30929-30934	force
30935-30940	fores
31033-31038	fotik
31199-31204	fovea
31242-31247	frape
31302-31307	freud
31330-31335	froid
31394-31399	fukin
31411-31416	fulut
31534-31539	gabar
31540-31545	gabus
31546-31551	gadai
31552-31557	gadap
31584-31589	gadis
31608-31613	gaduh
31627-31632	gagah
31633-31638	gagak
31639-31644	gagal
31673-31678	gajah
31718-31723	galah
31811-31816	galat
31861-31866	galop
31867-31872	galur
31896-31901	gamat
31942-31947	gamit
31970-31975	ganas
31976-31981	ganda
32067-32072	ganjo
32093-32098	ganti
32128-32133	gapai
32155-32160	garam
32213-32218	garis
32219-32224	garpu
32230-32235	garuk
32243-32248	garut
32249-32254	garwa
32278-32283	gasal
32365-32370	gatal
32371-32376	gatik
32377-32382	gatra
32397-32402	gawai
32410-32415	gawat
32426-32431	gayan
32446-32451	gayar
32460-32465	gebal
32466-32471	gebel
32535-32540	gegak
32548-32553	gegap
32554-32559	gegar
32619-32624	gelak
32625-32630	gelam
32681-32686	gelap
32701-32706	gelar
32707-32712	gelas
32920-32925	gelok
32984-32989	gelut
33029-33034	geman
33209-33214	gempa
33223-33228	gempi
33251-33256	gemuk
33295-33300	genap
33472-33477	genta
33478-33483	gente
33727-33732	gerai
33733-33738	gerak
33747-33752	geram
33782-33787	gerau
33879-33884	gerep
33893-33898	gerga
33907-33912	gerha
34112-34117	gesek
34118-34123	geser
34131-34136	geste
34142-34147	getah
34148-34153	getar
34159-34164	giduh
34199-34204	gigit
34273-34278	gilir
34302-34307	ginek
34319-34324	ginem
34343-34348	ginto
34349-34354	giral
34410-34415	gitar
34726-34731	gobar
34732-34737	gobek
34748-34753	godek
34754-34759	gogah
34777-34782	golek
34883-34888	goods
34919-34924	gosok
34925-34930	gotat
34986-34991	grago
34992-34997	graha
35009-35014	grand
35134-35139	griya
35140-35145	groto
35156-35161	gubai
35162-35167	gubal
35204-35209	gudeg
35210-35215	gugur
35216-35221	gugus
35238-35243	gulai
35265-35270	gulen
35403-35408	gurat
35419-35424	gurih
35444-35449	gurun
35455-35460	gusti
35487-35492	habis
35522-35527	hadat
35528-35533	hadis
35594-35599	hajat
35609-35614	hakim
35615-35620	hakul
35632-35637	halal
35723-35728	halus
35754-35759	halwa
35769-35774	hamba
35784-35789	hamil
35871-35876	hantu
35939-35944	hapus
35953-35958	haram
35959-35964	harap
35987-35992	harga
36042-36047	harta
36073-36078	hasil
36110-36115	hatta
36132-36137	haute
36143-36148	hayat
36506-36511	henle
36523-36528	henti
36529-36534	hepar
36802-36807	hewan
36820-36825	hibah
36879-36884	hidro
37197-37202	hidup
37299-37304	hijau
37334-37339	hilir
37388-37393	hindu
37943-37948	hisab
38071-38076	hitam
38311-38316	horor
38331-38336	hotel
38391-38396	hujan
38397-38402	hukum
38476-38481	humat
38511-38516	humus
38529-38534	huruf
38535-38540	hutan
38606-38611	ideal
38705-38710	ifrad
38711-38716	ihram
38767-38772	iklan
38773-38778	iklim
38890-38895	iloni
38939-38944	imbal
39043-39048	impor
39263-39268	inang
39339-39344	indra
39345-39350	induk
39454-39459	infra
39496-39501	ingat
39557-39562	inggu
39563-39568	ingin
39641-39646	injak
39655-39660	injil
39748-39753	insan
39976-39981	intai
39982-39987	intan
40082-40087	inter
40623-40628	ionik
40639-40644	irama
40659-40664	ireng
40938-40943	istri
40985-40990	jadah
40996-41001	jadid
41007-41012	jagat
41041-41046	jahat
41052-41057	jahil
41058-41063	jahit
41069-41074	jajan
41091-41096	jaket
41097-41102	jaksi
41108-41113	jalak
41114-41119	jalan
41157-41162	jalur
41188-41193	jambe
41203-41208	jambu
41236-41241	jamur
41270-41275	janda
41346-41351	janin
41360-41365	janji
41388-41393	janti
41412-41417	jarah
41418-41423	jarak
41424-41429	jaran
41449-41454	jarik
41496-41501	jarum
41516-41521	jatuh
41532-41537	jawab
41635-41640	jejak
41657-41662	jelak
41838-41843	jenis
41858-41863	jenuh
41871-41876	jepit
41891-41896	jepun
41919-41924	jerat
41941-41946	jerih
42005-42010	jeruk
42011-42016	jerum
42032-42037	jevon
42038-42043	jilid
42055-42060	jinem
42061-42066	jitah
42082-42087	jodoh
42088-42093	joglo
42150-42155	jotos
42182-42187	juang
42188-42193	jubah
42199-42204	judul
42210-42215	juita
42223-42228	jujur
42229-42234	jukut
42281-42286	jumpa
42328-42333	junta
42345-42350	jurai
42405-42410	kabar
42411-42416	kabel
42424-42429	kabin
42438-42443	kabir
42481-42486	kabul
42487-42492	kabur
42493-42498	kabut
42540-42545	kacau
42546-42551	kacer
42552-42557	kacip
42579-42584	kadas
42585-42590	kader
42602-42607	kadim
42608-42613	kadut
42625-42630	kafan
42647-42652	kafir
42653-42658	kaget
42659-42664	kahar
42721-42726	kakab
42735-42740	kakai
42741-42746	kakak
42756-42761	kakap
42762-42767	kakas
42797-42802	kalah
42803-42808	kalam
42836-42841	kalau
42853-42858	kalbu
42961-42966	kalis
43036-43041	kalor
43124-43129	kamar
43198-43203	kamus
43215-43220	kanal
43232-43237	kanan
43261-43266	kando
43330-43335	kanta
43362-43367	kapai
43368-43373	kapak
43374-43379	kapal
43380-43385	kapar
43386-43391	kapas
43459-43464	kapuk
43476-43481	kapur
43538-43543	karan
43582-43587	karat
43732-43737	karet
43738-43743	kargo
43744-43749	karib
43880-43885	kartu
43886-43891	karun
43892-43897	karya
43918-43923	kasai
43924-43929	kasar
43937-43942	kasat
43963-43968	kaset
43974-43979	kasih
44055-44060	kasur
44061-44066	kasus
44067-44072	kasut
44092-44097	katai
44098-44103	katak
44255-44260	katik
44275-44280	katun
44281-44286	katup
44313-44318	kawak
44319-44324	kawal
44325-44330	kawan
44339-44344	kawat
44345-44350	kawin
44363-44368	kayan
44374-44379	kayuh
44696-44701	kebat
45083-45088	kebul
45089-45094	kebun
45175-45180	kecap
45192-45197	kecek
45333-45338	kecik
45339-45344	kecil
45441-45446	kecut
45469-45474	kedai
45475-45480	kedak
46306-46311	kejap
46312-46317	kejat
46395-46400	kekal
46401-46406	kekam
46421-46426	kekat
46524-46529	keket
46585-46590	kekok
46730-46735	kelam
46847-46852	kelas
46871-46876	kelat
47152-47157	kelim
47274-47279	kelip
47624-47629	kemas
47914-47919	kemih
48062-48067	kempa
48486-48491	kepal
48816-48821	kepik
48889-48894	kepok
49060-49065	kerah
49080-49085	kerak
49151-49156	keran
49230-49235	kerap
49243-49248	keras
49413-49418	kerek
49540-49545	kerik
49638-49643	keris
49644-49649	kerja
49813-49818	keruh
49826-49831	keruk
49873-49878	kerut
51239-51244	ketam
51256-51261	ketan
51269-51274	ketat
51429-51434	keter
51912-51917	ketua
51940-51945	ketuk
52281-52286	kibas
52287-52292	kidal
52300-52305	kidul
52356-52361	kijil
52362-52367	kikir
52368-52373	kilan
52381-52386	kilat
52387-52392	kilau
52393-52398	kilen
52399-52404	kilir
52421-52426	kimia
52549-52554	kipas
52555-52560	kipat
52566-52571	kiran
52577-52582	kirna
52626-52631	kista
52637-52642	kitab
52702-52707	klaim
52820-52825	klien
52888-52893	klise
53022-53027	kobok
53028-53033	kobra
53045-53050	kodal
53092-53097	kodok
53098-53103	kofte
53188-53193	kokas
53194-53199	kokat
53211-53216	koksi
53247-53252	kolam
53267-53272	kolar
53281-53286	kolek
53383-53388	kolom
53468-53473	kolot
53556-53561	kombo
53622-53627	komik
54224-54229	konon
54750-54755	kopak
54866-54871	koral
54872-54877	koran
54971-54976	koros
55058-55063	korus
55145-55150	kotak
55162-55167	kotok
55175-55180	kotor
55207-55212	koyok
55213-55218	krama
55365-55370	krida
55645-55650	kriya
55787-55792	kuali
55847-55852	kuasa
55853-55858	kuasi
55878-55883	kubah
55884-55889	kubik
55890-55895	kubis
55908-55913	kubur
55922-55927	kubus
55967-55972	kuduk
55980-55985	kudus
56033-56038	kukus
56039-56044	kukut
56050-56055	kulat
56072-56077	kulit
56089-56094	kuman
56095-56100	kumba
56116-56121	kumuh
56122-56127	kumur
56142-56147	kunci
56204-56209	kunut
56210-56215	kuoka
56223-56228	kupas
56229-56234	kupat
56275-56280	kurap
56281-56286	kuras
56331-56336	kurma
56337-56342	kursi
56357-56362	kurus
56363-56368	kurva
56369-56374	kusam
56375-56380	kusen
56395-56400	kusut
56401-56406	kutil
56419-56424	kutub
56425-56430	kutuk
56472-56477	kyrie
56483-56488	label
56523-56528	labuh
56561-56566	laesa
56572-56577	lagak
56595-56600	lahan
56601-56606	lahar
56607-56612	lahir
56645-56650	lajak
56667-56672	laken
56678-56683	lakon
56781-56786	lakur
56787-56792	lalai
56800-56805	lalat
56841-56846	lamba
56904-56909	lampu
56932-56937	lanar
57188-57193	lanny
57226-57231	lapak
57263-57268	lapis
57285-57290	larak
57291-57296	laras
57297-57302	larat
57317-57322	larik
57341-57346	laris
57360-57365	larva
57370-57375	lasak
57376-57381	laser
57382-57387	lasik
57407-57412	latar
57420-57425	laten
57434-57439	latih
57448-57453	latin
57493-57498	lawak
57507-57512	lawan
57513-57518	lawas
57537-57542	layah
57543-57548	layak
57578-57583	layar
57589-57594	layuh
57598-57603	lebah
57604-57609	lebam
57610-57615	lebar
57635-57640	lebih
57656-57661	lebur
57669-57674	ledak
57747-57752	legit
57764-57769	leher
57770-57775	lekas
57776-57781	lekat
57851-57856	lekuk
57857-57862	lelah
57870-57875	lelas
57909-57914	lemah
57915-57920	lemak
57928-57933	lemas
57995-58000	lembu
58015-58020	lemon
58165-58170	lensa
58213-58218	lepas
58267-58272	lerak
58287-58292	lerap
58339-58344	letak
58345-58350	leter
58351-58356	letih
58460-58465	lewat
58491-58496	liang
58565-58570	libur
58571-58576	licin
58577-58582	lidah
58622-58627	lihat
58688-58693	likur
58712-58717	lilin
58718-58723	lilit
58729-58734	liman
58735-58740	limau
58859-58864	limpa
59000-59005	lipan
59006-59011	lipas
59012-59017	lipat
59040-59045	lipit
59087-59092	liris
59093-59098	lisan
59173-59178	liung
59179-59184	liwet
59193-59198	lobus
59207-59212	locus
59213-59218	lodan
59223-59228	logam
59298-59303	lokal
59373-59378	lokus
59379-59384	lolos
59444-59449	loron
59464-59469	lotre
59477-59482	loyar
59503-59508	luban
59516-59521	lubuk
59527-59532	lukis
59533-59538	lulai
59549-59554	lumbu
59580-59585	lumut
59586-59591	lunak
59592-59597	lunas
59598-59603	lunau
59640-59645	lupuk
59653-59658	lupus
59659-59664	lurik
59665-59670	luruh
59671-59676	lurus
59682-59687	lusuh
59706-59711	lutut
59717-59722	maani
59723-59728	mabar
59729-59734	mabuk
59749-59754	macam
59755-59760	macan
59821-59826	madya
59827-59832	mafia
59880-59885	mahal
59943-59948	majal
59992-59997	majir
60018-60023	makam
60024-60029	makan
60080-60085	makna
60100-60105	makro
60247-60252	malai
60292-60297	malam
60354-60359	malas
60374-60379	malat
60452-60457	mamak
60558-60563	mandi
60679-60684	manik
60703-60708	manis
60731-60736	manja
60763-60768	manti
60801-60806	manuk
60823-60828	mapan
60834-60839	marak
61000-61005	masak
61028-61033	masam
61041-61046	masih
61061-61066	masir
61121-61126	massa
61181-61186	masuk
61269-61274	mater
61377-61382	maung
61388-61393	mawai
61394-61399	mawar
61400-61405	mawas
61406-61411	mawon
61424-61429	mayat
61441-61446	mayor
61447-61452	mbaru
61466-61471	medan
61486-61491	media
61506-61511	medis
61646-61651	mekah
64105-64110	memar
71472-71477	meneg
84820-84825	meong
84879-84884	merah
84926-84931	merak
85356-85361	merek
85769-85774	merih
86165-86170	mesin
86479-86484	meter
86851-86856	mijen
86877-86882	mikro
87169-87174	milik
87217-87222	mimpi
87228-87233	minat
87336-87341	minor
87342-87347	minta
87371-87376	minum
87428-87433	mipan
87434-87439	mirat
87472-87477	misal
87478-87483	misan
87563-87568	mitra
87580-87585	mobil
87616-87621	modal
87627-87632	modem
87687-87692	modul
87693-87698	modus
87728-87733	momen
87748-87753	monde
87943-87948	moral
88040-88045	morse
88076-88081	mosso
88082-88087	motor
88134-88139	muara
88157-88162	mudah
88185-88190	mudik
88250-88255	mulas
88256-88261	mules
88262-88267	mulsa
88532-88537	mulut
88605-88610	murah
88611-88616	murai
88625-88630	murid
88631-88636	murka
88637-88642	murni
88686-88691	music
88692-88697	musik
88709-88714	musim
88756-88761	musuh
88890-88895	nafar
88904-88909	nafsu
88915-88920	nagan
88928-88933	nahar
88934-88939	nahas
88960-88965	nakal
88997-89002	nanah
89003-89008	nanas
89034-89039	nanti
89061-89066	napas
89139-89144	nasab
89153-89158	nasal
89175-89180	nasib
89279-89284	natal
89323-89328	navis
89362-89367	nazar
89574-89579	nenas
89580-89585	nenek
89931-89936	niaga
89953-89958	nifas
89959-89964	nikah
89987-89992	nilai
89993-89998	nilon
90063-90068	nisan
90126-90131	nobat
90132-90137	nobis
90164-90169	nomen
90185-90190	nomor
90459-90464	norma
90547-90552	novus
90553-90558	nujum
90653-90658	nuwun
90664-90669	nyari
90670-90675	nyata
90683-90688	nyawa
90689-90694	nyeri
90706-90711	nyiur
90739-90744	obeng
90776-90781	objek
90830-90835	obyok
91060-91065	oleat
91153-91158	ombak
91349-91354	opini
91373-91378	opium
91458-91463	optis
91484-91489	orang
91519-91524	organ
91638-91643	orkes
92053-92058	ovari
92194-92199	pacar
92200-92205	pacat
92206-92211	pacet
92217-92222	padan
92230-92235	padas
92236-92241	padat
92247-92252	padri
92272-92277	pagar
92300-92305	paham
92306-92311	pahat
92312-92317	pahit
92327-92332	pajak
92345-92350	pakai
92359-92364	paket
92365-92370	pakis
92378-92383	paksi
92403-92408	palak
92409-92414	palas
92415-92420	palat
92453-92458	palem
92615-92620	palma
92646-92651	palsu
92713-92718	pamor
92719-92724	panah
92725-92730	panas
92905-92910	panda
92965-92970	pandu
92971-92976	panel
92999-93004	panen
93235-93240	panji
93277-93282	panta
93395-93400	papan
93511-93516	parah
93717-93722	paras
93866-93871	paris
93945-93950	parsi
94030-94035	paruh
94036-94041	pasak
94042-94047	pasal
94066-94071	pasar
94250-94255	pasif
94278-94283	pasir
94338-94343	passu
94344-94349	pasta
94350-94355	pasti
94382-94387	patah
94399-94404	paten
94471-94476	patol
94477-94482	patri
94542-94547	pawai
94568-94573	payah
94608-94613	pecah
94627-94632	pecut
94696-94701	pedih
94814-94819	pegas
94820-94825	pegun
94876-94881	pekak
94893-94898	pekan
94910-94915	pekat
95188-95193	pelat
95427-95432	pelet
95518-95523	pelir
95568-95573	pelor
95600-95605	peluh
95613-95618	peluk
98467-98472	penak
98804-98809	penat
105838-105843	penuh
107903-107908	perah
107944-107949	perak
108016-108021	peran
108549-108554	perdu
108869-108874	pergi
109051-109056	peria
109919-109924	perlu
111390-111395	perum
111407-111412	perun
111451-111456	perut
111557-111562	pesak
111563-111568	pesan
111589-111594	pesat
111614-111619	peseh
111691-111696	pesta
111702-111707	petai
111708-111713	petak
111770-111775	petik
111785-111790	petir
111791-111796	petis
111869-111874	petus
111934-111939	piano
111948-111953	piara
111962-111967	piatu
111983-111988	pidie
111989-111994	pidit
112049-112054	pihak
112055-112060	pijar
112061-112066	pijat
112067-112072	piket
112073-112078	pikir
112113-112118	pilih
112127-112132	pilin
112156-112161	pinak
112255-112260	pintu
112271-112276	pipih
112277-112282	pipit
112414-112419	pirus
112420-112425	pisah
112447-112452	pisau
112485-112490	pitam
112502-112507	pitar
112532-112537	pivot
112928-112933	pohon
112987-112992	point
113004-113009	pojok
113010-113015	poket
113016-113021	pokok
113041-113046	polah
113383-113388	polis
113566-113571	polos
113583-113588	pompa
113623-113628	popok
113629-113634	popor
113649-113654	porak
113677-113682	porno
113704-113709	porok
113710-113715	poros
113898-113903	praja
114392-114397	premi
114539-114544	prima
114563-114568	primi
115546-115551	puasa
115552-115557	puber
115576-115581	pucat
115582-115587	pucuk
115619-115624	puisi
115634-115639	pujuk
115640-115645	pukal
115660-115665	pukat
115666-115671	pukis
115672-115677	pukul
115712-115717	pulas
115718-115723	pulau
115724-115729	pulpa
115730-115735	puluh
115736-115741	pulut
115746-115751	punar
115752-115757	punca
115805-115810	punta
115830-115835	pupuh
115836-115841	pupuk
115842-115847	pupur
115848-115853	puput
115859-115864	purba
115970-115975	purwa
116010-116015	pusar
116024-116029	pusat
116030-116035	puseh
116082-116087	puspa
116129-116134	putar
116143-116148	putat
116163-116168	putih
116169-116174	putik
116175-116180	putra
116192-116197	putri
116209-116214	putus
116223-116228	puyuh
116245-116250	rabit
116278-116283	rabun
116291-116296	racun
116304-116309	radar
116321-116326	raden
116370-116375	radin
116376-116381	radio
116604-116609	radom
116635-116640	ragam
116641-116646	ragil
116669-116674	rahat
116675-116680	rahim
116691-116696	rajah
116705-116710	rajet
116711-116716	rajut
116732-116737	raket
116749-116754	rakit
116770-116775	ralat
116784-116789	ramah
116790-116795	ramal
116833-116838	rambu
116862-116867	rames
116893-116898	ranah
116899-116904	ranau
116905-116910	rancu
117060-117065	rapat
117066-117071	rapel
117081-117086	rapor
117087-117092	rapot
117093-117098	rapuh
117130-117135	rasio
117177-117182	ratap
117194-117199	ratna
117240-117245	rawan
117246-117251	rawas
117252-117257	rawat
117277-117282	rawon
117288-117293	rayap
117398-117403	reban
117404-117409	rebut
117410-117415	receh
117476-117481	redup
117774-117779	rekor
117780-117785	reksa
118017-118022	renik
118151-118156	repuh
118190-118195	resah
118196-118201	resam
118210-118215	resep
118224-118229	reses
118293-118298	resmi
118387-118392	retak
118621-118626	rezim
118636-118641	riang
118647-118652	riben
118672-118677	riche
118696-118701	rimba
118709-118714	rindu
118750-118755	ripta
118764-118769	riset
118822-118827	roboh
118869-118874	rokan
118875-118880	roket
118897-118902	rokok
118907-118912	rolet
118923-118928	roman
118967-118972	rompi
119044-119049	rotan
119076-119081	rotor
119122-119127	ruang
119148-119153	rucah
119170-119175	rujak
119184-119189	rukun
119204-119209	rumah
119280-119285	rumus
119348-119353	rurut
119354-119359	rusak
119365-119370	rutin
119371-119376	sabak
119377-119382	saban
119383-119388	saben
119400-119405	sabit
119414-119419	sabuk
119420-119425	sabun
119426-119431	sabut
119439-119444	sadap
119475-119480	safar
119495-119500	safir
119506-119511	sagir
119536-119541	saham
119542-119547	saing
119561-119566	sajak
119577-119582	sakal
119607-119612	sakat
119621-119626	sakit
119666-119671	saksi
119683-119688	sakti
119701-119706	salah
119707-119712	salai
119713-119718	salak
119719-119724	salam
119736-119741	salat
119742-119747	saldo
119748-119753	saleh
119754-119759	salik
119779-119784	salju
119785-119790	salsa
119791-119796	salto
119810-119815	samak
119816-119821	samar
119881-119886	samin
